# 
# Header Description:
# 
# Version: v3.0.6.4 Platform: 14 Manufacturer: samsung Model: SM-S918B
# 
# Raw,utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos
# 
# UncalAccel,utcTimeMillis,elapsedRealtimeNanos,UncalAccelXMps2,UncalAccelYMps2,UncalAccelZMps2,BiasXMps2,BiasYMps2,BiasZMps2
# 
# Accel,utcTimeMillis,elapsedRealtimeNanos,AccelXMps2,AccelYMps2,AccelZMps2
# 
# UncalGyro,utcTimeMillis,elapsedRealtimeNanos,UncalGyroXRadPerSec,UncalGyroYRadPerSec,UncalGyroZRadPerSec,DriftXRadPerSec,DriftYRadPerSec,DriftZRadPerSec
# 
# Gyro,utcTimeMillis,elapsedRealtimeNanos,GyroXRadPerSec,GyroYRadPerSec,GyroZRadPerSec
# 
# UncalMag,utcTimeMillis,elapsedRealtimeNanos,UncalMagXMicroT,UncalMagYMicroT,UncalMagZMicroT,BiasXMicroT,BiasYMicroT,BiasZMicroT
# 
# Mag,utcTimeMillis,elapsedRealtimeNanos,MagXMicroT,MagYMicroT,MagZMicroT
# 
# OrientationDeg,utcTimeMillis,elapsedRealtimeNanos,yawDeg,rollDeg,pitchDeg
# 
# Fix,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis,SpeedAccuracyMps,BearingAccuracyDegrees,elapsedRealtimeNanos,VerticalAccuracyMeters,MockLocation,NumberOfUsedSignals,VerticalSpeedAccuracyMps,SolutionType
# 
# Nav,Svid,Type,Status,MessageId,Sub-messageId,Data(Bytes)
# 
# Status,UnixTimeMillis,SignalCount,SignalIndex,ConstellationType,Svid,CarrierFrequencyHz,Cn0DbHz,AzimuthDegrees,ElevationDegrees,UsedInFix,HasAlmanacData,HasEphemerisData,BasebandCn0DbHz
# 
# Agc,utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,AgcDb,CarrierFrequencyHz,ConstellationType
# 
Status,,1,0,6,5,1575420030,20.50,257.63928,42.19758,1,1,0,15.5
Raw,1713419512424,498832978000000,18,0.0,-1396955897446219372,-0.4066019058227539,107381.35129213333,-1.9531249475624988,266.3356301245171,10,5,0.0,23567,366730345741981,92,24.8,209.31353759765625,1.9869999885559082,16,0.0,0.0,1575420030,,,,0,0.0,6,-53.93,20.5,-1467.3328857421875,26.5100154876709,,,C,564663053489435
Agc,1713419512424,498832978000000,18,0.0,-1396955897446219372,-0.4066019058227539,107381.35129213333,-1.9531249475624988,266.3356301245171,10,-50.1,1575420000,1
Agc,1713419512424,498832978000000,18,0.0,-1396955897446219372,-0.4066019058227539,107381.35129213333,-1.9531249475624988,266.3356301245171,10,-50.1,1575420000,4
Agc,1713419512424,498832978000000,18,0.0,-1396955897446219372,-0.4066019058227539,107381.35129213333,-1.9531249475624988,266.3356301245171,10,-53.15,1602000000,3
Agc,1713419512424,498832978000000,18,0.0,-1396955897446219372,-0.4066019058227539,107381.35129213333,-1.9531249475624988,266.3356301245171,10,-59.05,1561098000,5
Agc,1713419512424,498832978000000,18,0.0,-1396955897446219372,-0.4066019058227539,107381.35129213333,-1.9531249475624988,266.3356301245171,10,-53.93,1575420000,6
Agc,1713419512424,498832978000000,18,0.0,-1396955897446219372,-0.4066019058227539,107381.35129213333,-1.9531249475624988,266.3356301245171,10,-39.55,1176450000,1
Agc,1713419512424,498832978000000,18,0.0,-1396955897446219372,-0.4066019058227539,107381.35129213333,-1.9531249475624988,266.3356301245171,10,-39.55,1176450000,4
Agc,1713419512424,498832978000000,18,0.0,-1396955897446219372,-0.4066019058227539,107381.35129213333,-1.9531249475624988,266.3356301245171,10,-39.55,1176450000,6
Agc,1713419512424,498832978000000,18,0.0,-1396955897446219372,-0.4066019058227539,107381.35129213333,-1.9531249475624988,266.3356301245171,10,-39.55,1176450000,5
Agc,1713419512424,498832978000000,18,0.0,-1396955897446219372,-0.4066019058227539,107381.35129213333,-1.9531249475624988,266.3356301245171,10,-53.93,1575420000,5
Fix,NLP,32.1050823000,35.2054633000,667.5,,20.0,,1713419511052,,,564662194000000,1.0,0,,,
Status,,1,0,6,5,1575420030,20.50,257.50754,42.14849,1,1,0,15.5
Agc,1713419513424,498833978000000,18,0.0,-1396955897446219371,-0.4231252670288086,107644.34933662415,0.9765624737812494,266.3356301245171,10,-50.01,1575420000,1
Agc,1713419513424,498833978000000,18,0.0,-1396955897446219371,-0.4231252670288086,107644.34933662415,0.9765624737812494,266.3356301245171,10,-50.01,1575420000,4
Agc,1713419513424,498833978000000,18,0.0,-1396955897446219371,-0.4231252670288086,107644.34933662415,0.9765624737812494,266.3356301245171,10,-52.92,1602000000,3
Agc,1713419513424,498833978000000,18,0.0,-1396955897446219371,-0.4231252670288086,107644.34933662415,0.9765624737812494,266.3356301245171,10,-59.18,1561098000,5
