GPS time,SatPRN (ID),Sat.X,Sat.Y,Sat.Z,Pseudo-Range,CN0,GPS_Unique_Time,Pos_X,Pos_Y,Pos_Z,Lat,Lon,Alt
2024-04-13 16:53:51.426041+00:00,G10,25023639.6240527,4783845.804169687,8137692.350133545,21196005.876491368,48.3,2024-04-13 16:53:51.426041+00:00,4438798.163961576,3085559.238197941,3377256.016807975,32.16767087792985,34.80447471653045,2012.5673287892714
2024-04-13 16:53:51.426041+00:00,G21,-1620081.7744787035,17327678.89277763,20172485.06377191,22839528.10111702,45.7,2024-04-13 16:53:52.426041+00:00,4434710.941591038,3083872.516867439,3374055.2887725094,32.163970412555486,34.8145295486568,-3347.233002141118
2024-04-13 16:53:51.426041+00:00,G27,15757452.408317763,1890975.957163493,21856363.72227612,21704707.75126088,37.9,2024-04-13 16:53:53.426041+00:00,4439508.6059425315,3086546.8183716196,3377737.618187783,32.165841019109855,34.80877057258255,3239.9461553832516
2024-04-13 16:53:51.426041+00:00,G32,23098436.983025927,13303367.387089957,-3014966.440680798,22215117.68794983,48.5,2024-04-13 16:53:54.426041+00:00,4434947.0610557925,3084228.449003359,3374281.6764759994,32.163792383359024,34.81619917819811,-2890.5885729072616
2024-04-13 16:53:51.426041+00:00,G08,7810468.746056123,17849813.844240233,18350828.84000951,21298089.881690662,27.7,2024-04-13 16:53:55.426041+00:00,4436892.5954032475,3085307.4920048444,3376329.751415288,32.16880184266139,34.813814618586264,73.36882091499865
2024-04-13 16:53:52.426041+00:00,G10,25024485.673475336,4784495.73568894,8134789.066819822,21198559.1993038,24.4,2024-04-13 16:53:56.426041+00:00,4436860.199189296,3085277.8406833704,3376307.58372476,32.16884160550119,34.81375260936411,24.72264321986586
2024-04-13 16:53:52.426041+00:00,G21,-1622221.7386181047,17329011.9448335,20171123.3000626,22839914.83154743,50.6,2024-04-13 16:53:57.426041+00:00,4435623.126580328,3083437.525395261,3374975.9654248627,32.168597225899816,34.805218134292964,-2433.295469241217
2024-04-13 16:53:52.426041+00:00,G27,15757890.182902262,1893596.489021039,21855909.19883369,21704400.173245847,42.1,2024-04-13 16:53:58.426041+00:00,4436872.594037402,3085286.975427276,3376324.3541528126,32.16889572394842,34.813757098173014,46.67985994648188
2024-04-13 16:53:52.426041+00:00,G32,23098025.775149062,13303432.704174263,-3018087.68460974,22215691.520228334,38.4,2024-04-13 16:53:59.426041+00:00,4436880.200283347,3085288.289867715,3376329.535830608,32.16890169207699,34.81372249995006,55.36002783291042
2024-04-13 16:53:52.426041+00:00,G08,5169380.722935404,25825521.78461427,-3459569.3951893607,23754428.557289694,49.7,2024-04-13 16:54:00.426041+00:00,4436888.260419629,3085288.4164169785,3376320.971356905,32.16880419615178,34.813674814470424,56.46289815381169
2024-04-13 16:53:52.426041+00:00,G10,7808348.177779548,17848964.775606938,18352557.3669648,21298366.886310734,22.6,2024-04-13 16:54:01.426041+00:00,4436877.489781867,3085286.6614508396,3376318.429918826,32.168832063413916,34.81372473173311,46.77637535799295
2024-04-13 16:53:53.426041+00:00,G10,14633733.886359746,-4876403.146818345,22088069.517008904,22748496.82369909,36.4,2024-04-13 16:54:02.426042+00:00,4435548.122051528,3085269.920954784,3375005.537080093,32.16409476344131,34.821627140541935,-1584.1283179298043
2024-04-13 16:53:53.426041+00:00,G21,25025331.442510437,4785145.479727181,8131885.568654007,21196433.106627703,49.4,2024-04-13 16:54:03.426042+00:00,4434949.842995434,3084353.722354402,3374345.999494542,32.16392915297529,34.8172731700898,-2793.865085738711
2024-04-13 16:53:53.426041+00:00,G27,-1624361.482773332,17330345.035913814,20169761.111179907,22840302.15528525,44.0,2024-04-13 16:54:04.426042+00:00,4435599.280952434,3085290.4229153097,3375010.6595904995,32.16387599417452,34.82149583703298,-1535.9384388467297
2024-04-13 16:53:53.426041+00:00,G32,15758328.104805518,1896216.9288764256,21855454.233308345,21704083.311714977,38.3,2024-04-13 16:54:05.426042+00:00,4435613.571390381,3085233.7567458395,3375000.0365758594,32.16389392006376,34.82091600199168,-1559.053868160583
2024-04-13 16:53:53.426041+00:00,G08,23097614.222629804,13303497.87727221,-3021208.866181496,22216267.09752861,49.5,2024-04-13 16:54:06.426042+00:00,4436887.249692112,3085296.893183972,3376320.184561654,32.16877893878551,34.81375471829284,59.4380998602137
2024-04-13 16:53:53.426041+00:00,G10,7806227.364952,17848115.740182087,18354285.51232206,21298652.267035324,28.7,2024-04-13 16:54:07.426042+00:00,4436883.301098198,3085286.8638753067,3376321.291578386,32.16883044536176,34.81369131851125,52.436502350494266
2024-04-13 16:53:54.426041+00:00,G10,14634187.149074417,-4873751.769524982,22088388.030829635,22748007.24233289,34.4,2024-04-13 16:54:08.426042+00:00,4436886.748380472,3085285.7633173643,3376328.3214647137,32.16887353576667,34.81366087271787,58.04323569405824
2024-04-13 16:53:54.426041+00:00,G21,25026176.90465797,4785795.015990736,8128981.946531652,21199006.53209097,33.3,2024-04-13 16:54:09.426042+00:00,4436900.8274505,3085279.5748973847,3376336.898303374,32.16890047142212,34.813521786926636,69.40363249275833
2024-04-13 16:53:54.426041+00:00,G27,-1626501.006911113,17331678.165967982,20168398.49714693,22840689.199819587,49.4,2024-04-13 16:54:10.426042+00:00,4436886.790110096,3085272.371465666,3376315.74421843,32.16881407120408,34.81354405042284,44.904105375520885
2024-04-13 16:53:54.426041+00:00,G32,15758766.173984352,1898837.2765154084,21854998.82573954,21703774.791388184,46.6,2024-04-13 16:54:11.426042+00:00,4436904.767511827,3085269.1076878244,3376322.657298009,32.16880492309194,34.81340682631854,59.50132477004081
2024-04-13 16:53:54.426041+00:00,G08,23097202.325449765,13303562.90643484,-3024329.9853714406,22216840.615703195,41.8,2024-04-13 16:54:12.426042+00:00,4436899.534976768,3085262.555067136,3376322.5335111236,32.168842565546974,34.81338146042388,52.632301362231374
2024-04-13 16:53:54.426041+00:00,G10,5168924.809042597,25826449.37859963,-3453295.7093687,23753475.836136032,48.5,2024-04-13 16:54:13.426042+00:00,4436894.171485968,3085250.7734264997,3376311.673973903,32.16881310607088,34.81331137075107,37.42974297981709
2024-04-13 16:53:54.426041+00:00,G27,7804106.307497054,17847266.73796886,18356013.276138343,21298929.899863232,25.7,2024-04-13 16:54:14.426042+00:00,4434522.830217617,3085161.2132090274,3375416.4275246775,32.17157259331735,34.826890144853515,-2130.3858814919367
2024-04-13 16:53:55.426041+00:00,G10,14634640.578020563,-4871100.385080923,22088706.094381887,22747533.88966919,40.9,2024-04-13 16:54:15.426042+00:00,4434502.184728533,3085138.041164254,3375396.363910764,32.17156435783777,34.826813452905924,-2166.615830820054
2024-04-13 16:53:55.426041+00:00,G21,23139970.13875702,-12054947.730469286,4452366.880521359,24087135.33902255,26.1,2024-04-13 16:54:16.426042+00:00,4436922.915961682,3085231.4888684005,3376321.7206985815,32.168829348980644,34.812969522151086,53.435785735026
2024-04-13 16:53:55.426041+00:00,G27,25027022.07980099,4786444.359818455,8126078.132103045,21199216.081258405,38.7,2024-04-13 16:54:17.426042+00:00,4436927.730305172,3085220.4920052313,3376321.421197458,32.16883822769629,34.81284465882488,51.30790009535849
2024-04-13 16:53:55.426041+00:00,G32,-1628640.3109857654,17333011.334937595,20167035.457994778,22841076.83766132,43.5,2024-04-13 16:54:18.426042+00:00,4436932.110240527,3085215.177580642,3376322.8716795743,32.168846601469895,34.812771888200686,52.55591042060405
2024-04-13 16:53:55.426041+00:00,G08,15759204.390443947,1901457.532013134,21854542.97611644,21703459.11647212,45.4,2024-04-13 16:54:19.426042+00:00,4436934.124895186,3085208.3319325107,3376318.2579687857,32.16882220517748,34.81270010527881,48.1914593372494
2024-04-13 16:53:55.426041+00:00,G10,23096790.083593797,13303627.79171246,-3027451.042131644,22217410.50423249,40.1,2024-04-13 16:54:20.426042+00:00,4436937.276633376,3085196.1808161167,3376324.1328308373,32.16888793335526,34.81257525766306,47.63767560292035
2024-04-13 16:53:55.426041+00:00,G27,5168696.831624981,25826912.60399257,-3450158.780773524,23755343.52840777,35.6,2024-04-13 16:54:21.426042+00:00,4436938.4345245985,3085194.664367755,3376314.649069396,32.16881513136486,34.81255504913198,42.660643578507006
2024-04-13 16:53:55.426041+00:00,G32,7801985.005542928,17846417.76905237,18357740.658303924,21299212.593254283,48.5,2024-04-13 16:54:22.426042+00:00,4435976.726491854,3085298.675300911,3375456.2482028916,32.16576775045401,34.819282281212395,-1032.4326241705567
2024-04-13 16:53:56.426041+00:00,G10,14635094.173222909,-4868448.993377693,22089023.707681317,22747057.221464112,44.9,2024-04-13 16:54:23.426042+00:00,4436947.41740735,3085183.0355369183,3376325.6726439684,32.16889574428265,34.81239945347559,49.15270160883665
2024-04-13 16:53:56.426041+00:00,G21,25027866.96120423,4787093.506100158,8123174.148416854,21199435.228045598,35.9,2024-04-13 16:54:24.426042+00:00,4435740.4506354295,3085207.643338676,3375223.0384014137,32.16516812487103,34.819920412189425,-1364.7860953239724
2024-04-13 16:53:56.426041+00:00,G27,-1630779.3949921867,17334344.54278957,20165671.993728597,22841460.252550367,41.3,2024-04-13 16:54:25.426042+00:00,4435739.541409228,3085173.078953755,3375224.827594612,32.16528014094333,34.819625018208804,-1381.1724442914128
2024-04-13 16:53:56.426041+00:00,G32,15759642.754154645,1904077.6952364217,21854086.684464406,21703144.62817086,47.4,2024-04-13 16:54:26.426042+00:00,4436951.753392748,3085173.18779579,3376317.6328043863,32.16884427258844,34.81228748781152,43.127083633095026
2024-04-13 16:53:56.426041+00:00,G08,23096377.497063693,13303692.533152953,-3030572.036284853,22217987.617151927,39.7,2024-04-13 16:54:27.426042+00:00,4436953.175659251,3085168.532821378,3376327.250788029,32.168924844120795,34.81223835923745,46.98641420993954
2024-04-13 16:53:56.426041+00:00,G10,5168468.837512508,25827375.45436429,-3447021.754161203,23754857.256107263,38.7,2024-04-13 16:54:28.426042+00:00,4435491.728997065,3085089.0680633797,3376507.285371255,32.176278792377765,34.820394177721894,-911.1458847122267
2024-04-13 16:53:56.426041+00:00,G27,7799863.459070533,17845568.833458506,18359467.658829365,21299492.285207883,48.9,2024-04-13 16:54:29.426042+00:00,4434997.760462056,3085174.3354088855,3375307.863954639,32.168835094405466,34.82412787701194,-1851.83421735093
2024-04-13 16:53:57.426041+00:00,G10,14635547.934660677,-4865797.594572751,22089340.870711718,22746587.742748752,46.2,2024-04-13 16:54:30.426042+00:00,4436969.280145661,3085159.9361610967,3376321.352055491,32.16883989594369,34.81206605315226,50.88391690701246
2024-04-13 16:53:57.426041+00:00,G21,23139242.50169864,-12053934.054609507,4458701.712114238,24083831.64164655,37.0,2024-04-13 16:54:31.426042+00:00,4436973.542038362,3085151.8592111203,3376316.525908296,32.16880839399353,34.81196995012309,47.373215400613844
2024-04-13 16:53:57.426041+00:00,G27,25028711.54888712,4787742.454915313,8120269.995327829,21199642.683186904,41.4,2024-04-13 16:54:32.426042+00:00,4436975.698310289,3085150.796998083,3376315.291433212,32.16879338213375,34.811947652784475,47.70123668946326
2024-04-13 16:53:57.426041+00:00,G32,-1632918.25883264,17335677.78943325,20164308.1044125,22841847.576288182,43.7,2024-04-13 16:54:33.426042+00:00,4436981.905583969,3085136.053840021,3376302.984988309,32.1687153822753,34.81178174766002,38.338904042728245
2024-04-13 16:53:57.426041+00:00,G08,15760081.265101964,1906697.7661432133,21853629.950793028,21702829.267358717,42.4,2024-04-13 16:54:34.426042+00:00,4436979.161947046,3085130.718355669,3376310.2918922813,32.16879659937305,34.81175190983974,37.7440691255033
2024-04-13 16:53:57.426041+00:00,G10,23095964.56583222,13303757.130808905,-3033692.9678732757,22218561.728633914,36.8,2024-04-13 16:54:35.426042+00:00,4436987.981394504,3085123.7930466062,3376305.6927719587,32.16874570762663,34.81163824637077,38.07826826814562
2024-04-13 16:53:57.426041+00:00,G27,5168240.828453019,25827837.92605218,-3443884.654355045,23754382.98955656,51.4,2024-04-13 16:54:36.426042+00:00,4435772.328985642,3085145.0197429713,3375140.299719657,32.16458240386571,34.81918222384946,-1416.9482406964526
2024-04-13 16:53:57.426041+00:00,G32,7797741.668138775,17844719.931244783,18361194.277661305,21299772.012061924,22.2,2024-04-13 16:54:37.426042+00:00,4437012.346859679,3085112.9265725147,3376316.028201102,32.1687583387703,34.811396183316525,55.26335834432393
2024-04-13 16:53:58.426041+00:00,G10,14636001.86235392,-4863146.188584917,22089657.583485432,22746108.980517548,43.0,2024-04-13 16:54:38.426042+00:00,4437014.406764095,3085098.1619551326,3376309.551073865,32.16874124413937,34.81125519329135,46.111650351434946
2024-04-13 16:53:58.426041+00:00,G21,23138878.23681188,-12053426.850471737,4461868.946930414,24085702.93956946,37.0,2024-04-13 16:54:39.426042+00:00,4437024.83406882,3085091.3644353836,3376319.4234412806,32.1687941316518,34.811132911184174,55.329967570491135
2024-04-13 16:53:58.426041+00:00,G27,25029555.842780422,4788391.20627442,8117365.672996037,21199848.67250992,43.7,2024-04-13 16:54:40.426042+00:00,4437021.5666097505,3085081.7289978997,3376311.7230341383,32.16877464088187,34.811068813010344,44.303111074492335
2024-04-13 16:53:58.426041+00:00,G32,-1635056.9025447585,17337011.074862063,20162943.79002451,22842228.024640217,38.5,2024-04-13 16:54:41.426043+00:00,4437032.283682011,3085072.6747989547,3376319.3585578226,32.16881549631413,34.81092513322998,51.4414204582572
2024-04-13 16:53:58.426041+00:00,G08,15760519.923258426,1909317.7446132344,21853172.775125463,21702519.874521032,49.6,2024-04-13 16:54:42.426043+00:00,4437036.091543051,3085076.2705034823,3376319.004136953,32.16878792468146,34.810933386206344,55.63673249538988
2024-04-13 16:53:58.426041+00:00,G10,23095551.28989876,13303821.584728386,-3036813.836739284,22219141.80809037,39.2,2024-04-13 16:54:43.426043+00:00,4437033.192554953,3085075.2357942066,3376313.9952718853,32.16876395346293,34.810941925271976,50.45514425262809
2024-04-13 16:53:58.426041+00:00,G27,5168012.804393136,25828300.019053843,-3440747.481402782,23753918.913933016,39.0,2024-04-13 16:54:44.426043+00:00,4437033.837780348,3085067.0897399574,3376321.7658988703,32.168843054500485,34.81086711024066,51.10434418171644
2024-04-13 16:53:58.426041+00:00,G32,7795619.632812711,17843871.0624708,18362920.51474176,21300055.612864297,47.8,2024-04-13 16:54:45.426043+00:00,4437029.054536662,3085062.3161363374,3376300.507666731,32.1687127193529,34.810854507246354,34.15535291377455
2024-04-13 16:53:59.426041+00:00,G10,14636455.956279632,-4860494.7755844975,22089973.845984723,22745632.905619875,41.7,2024-04-13 16:54:46.426043+00:00,4437055.309706583,3085072.915576572,3376316.3815181586,32.16870134197948,34.81078786555921,65.97578858863562
2024-04-13 16:53:59.426041+00:00,G21,23138513.668714173,-12052919.394217,4465036.110534395,24085234.65189963,35.5,2024-04-13 16:54:47.426043+00:00,4437049.1055866815,3085066.907343617,3376314.772853392,32.16872998687116,34.810773115055866,57.904094230383635
2024-04-13 16:53:59.426041+00:00,G27,25030399.842822723,4789039.760194566,8114461.181554461,21200060.6298074,46.1,2024-04-13 16:54:48.426043+00:00,4437057.864300218,3085073.213329599,3376317.6208157614,32.16869991577887,34.81077499597569,68.55493111629039
2024-04-13 16:53:59.426041+00:00,G32,-1637195.3259651912,17338344.398944348,20161579.050670728,22842618.94312289,40.1,2024-04-13 16:54:49.426043+00:00,4437057.644618597,3085071.0387125206,3376304.180412395,32.168604144914774,34.810757395996504,60.195561649277806
2024-04-13 16:53:59.426041+00:00,G08,15760958.728622686,1911937.6306832824,21852715.157457583,21702205.386219773,49.5,2024-04-13 16:54:50.426043+00:00,4437057.319266115,3085079.2744837804,3376289.195514346,32.16846846696155,34.810831055771594,55.97109578922391
2024-04-13 16:53:59.426041+00:00,G10,23095137.669228863,13303885.894964872,-3039934.6429802966,22219712.3248275,38.5,2024-04-13 16:54:51.426043+00:00,4437059.440513878,3085063.5837039147,3376281.8668938563,32.168447168048935,34.81068163216756,45.96124801598489
2024-04-13 16:53:59.426041+00:00,G27,5167784.765270568,25828761.733386178,-3437610.235220305,23753450.615356784,37.3,2024-04-13 16:54:52.426043+00:00,4437064.302721429,3085070.4720051126,3376276.992419552,32.16837191193024,34.81071216539146,50.073916730470955
2024-04-13 16:53:59.426041+00:00,G32,7793497.353083547,17843022.227166805,18364646.37007263,21300336.526333146,44.7,2024-04-13 16:54:53.426043+00:00,4437084.301257351,3085074.9938928117,3376285.93367482,32.16834893735462,34.8106304886334,70.91846924927086
2024-04-13 16:54:00.426041+00:00,G10,14636910.21642518,-4857843.355681109,22090289.65819919,22745164.61351932,42.8,2024-04-13 16:54:54.426043+00:00,4437084.971850414,3085064.316796414,3376281.7768613338,32.16834382693863,34.81053348823808,64.01191386207938
2024-04-13 16:54:00.426041+00:00,G21,23138148.800276164,-12052411.6897502,4468203.178244211,24084756.52230699,34.1,2024-04-13 16:54:55.426043+00:00,4437088.591538805,3085071.7044747924,3376263.896044317,32.1681728161369,34.81057588868683,60.57768328208476
2024-04-13 16:54:00.426041+00:00,G27,25031243.54899787,4789688.116727776,8111556.520980244,21200269.89977135,47.5,2024-04-13 16:54:56.426043+00:00,4437070.489415388,3085060.138547542,3376230.470645199,32.16802071956879,34.81058477047898,24.61196518689394
2024-04-13 16:54:00.426041+00:00,G32,-1639333.5290692514,17339677.761634715,20160213.886368938,22843018.27261051,38.9,2024-04-13 16:54:57.426043+00:00,4437095.314602008,3085062.224070917,3376232.919228806,32.167935834782384,34.81045267360017,44.1768348608166
